date,customer_id,item
2026-02-11,8159,Dinner table
2026-02-08,8110,Bed
2025-12-02,6182,Bed
2026-01-14,4409,Bed
2025-12-27,6750,Sofa
2025-12-26,4761,Sofa
2026-01-29,4073,Sofa
2026-02-02,655,Sofa
2025-12-01,3427,Bed
2025-12-19,844,Sofa
2026-01-06,2746,Sofa
2026-01-08,3672,Dinner table
2026-02-02,6788,Dinner table
2026-02-05,6379,Sofa
2026-01-11,3902,Dinner table
2025-12-12,2302,Bed
2026-02-14,5906,Bed
2025-12-03,6349,Dinner table
2025-11-20,192,Dinner table
2025-12-01,1621,Sofa
2026-01-18,3855,Bed
2026-01-21,3471,Dinner table
2025-12-28,6999,Dinner table
2026-02-02,7052,Dinner table
2025-12-31,5359,Bed
2026-01-14,8279,Sofa
2026-02-16,7305,Bed
2025-12-12,5509,Sofa
2026-01-19,8788,Bed
2025-11-16,6747,Sofa
2025-12-08,5577,Sofa
2025-11-25,6855,Sofa
2026-02-13,6478,Dinner table
2025-12-14,7247,Dinner table
2025-12-07,4412,Bed
2025-12-14,2924,Bed
2025-12-08,3163,Bed
2025-12-16,8753,Sofa
2025-12-23,531,Sofa
2026-01-05,8235,Dinner table
2026-01-20,3166,Sofa
2025-12-11,4288,Sofa
2026-02-06,7912,Dinner table
2025-11-21,175,Bed
2026-01-09,5228,Sofa
2025-12-24,8796,Dinner table
2025-12-15,360,Sofa
2025-12-31,9191,Sofa
2026-02-10,5329,Bed
2025-12-23,8101,Bed
2026-02-16,7482,Sofa
2026-02-05,8987,Dinner table
2026-01-19,9320,Sofa
2026-01-19,185,Bed
2026-01-24,660,Bed
2025-11-11,179,Sofa
2025-11-11,1524,Dinner table
2025-12-15,8944,Sofa
2026-02-04,5665,Dinner table
2026-01-04,3152,Sofa
2025-11-15,2654,Bed
2025-12-27,248,Dinner table
2026-01-27,3032,Sofa
2026-01-02,9093,Bed
2026-01-20,8495,Dinner table
2026-01-04,95,Sofa
2025-11-21,7511,Bed
2025-11-26,2311,Sofa
2025-12-08,1729,Dinner table
2026-02-16,2449,Sofa
2025-11-10,3368,Dinner table
2026-01-09,5223,Bed
2025-12-16,8574,Dinner table
2026-01-04,4928,Sofa
2026-02-01,5168,Sofa
2025-11-29,2624,Dinner table
2025-12-04,1266,Sofa
2026-01-16,8013,Sofa
2025-12-21,3182,Sofa
2026-01-28,2112,Dinner table
2025-11-11,7184,Sofa
2026-02-04,6188,Sofa
2025-11-14,5862,Sofa
2026-01-08,2356,Bed
2026-01-03,8116,Dinner table
2026-01-11,8534,Bed
2026-02-12,2011,Dinner table
2026-01-24,1175,Bed
2026-01-17,6398,Bed
2025-12-01,880,Bed
2026-01-28,1532,Sofa
2025-11-30,1079,Dinner table
2026-02-14,3737,Sofa
2026-01-18,5299,Dinner table
2026-02-11,5690,Dinner table
2026-01-09,631,Dinner table
2025-12-04,8714,Bed
2025-12-31,8454,Bed
2025-12-09,1575,Sofa
2026-02-01,8160,Bed
2026-01-10,7067,Bed
2026-02-17,5113,Dinner table
2025-11-12,3663,Sofa
2025-12-08,8448,Dinner table
2025-12-22,621,Bed
2026-02-11,7410,Bed
2026-01-21,6488,Sofa
2026-01-18,312,Dinner table
2026-02-05,5842,Bed
2025-12-05,6526,Sofa
2026-02-17,3580,Bed
2025-12-28,451,Dinner table
2026-01-27,8101,Sofa
2026-01-17,2532,Dinner table
2026-01-07,6075,Dinner table
2026-02-06,7919,Dinner table
2025-11-30,8374,Sofa
2025-12-01,3391,Bed
2026-01-09,8693,Bed
2026-02-09,327,Bed
2026-01-20,7600,Sofa
2025-11-23,6656,Dinner table
2026-02-14,6961,Bed
2026-02-08,8966,Dinner table
2025-11-16,1276,Bed
2026-01-30,1300,Sofa
2025-11-22,7352,Bed
2026-01-18,1301,Bed
2025-12-24,3918,Sofa
2026-01-06,4490,Bed
2026-01-16,5295,Sofa
2025-12-11,5661,Sofa
2026-02-14,9032,Sofa
2025-12-10,8064,Bed
2026-02-08,980,Bed
2026-02-11,2434,Dinner table
2026-01-17,144,Dinner table
2025-11-18,8424,Dinner table
2026-02-16,5694,Sofa
2026-02-05,3324,Bed
2026-02-13,4900,Dinner table
2025-12-11,63,Bed
2025-12-29,9273,Sofa
2025-11-24,2224,Sofa
2025-12-15,1666,Dinner table
2025-11-21,8185,Bed
2026-01-27,6695,Sofa
2026-01-23,9087,Sofa
2025-12-17,3167,Sofa
2026-01-29,4530,Sofa
2026-01-11,2371,Bed
2026-01-12,6866,Bed
2025-12-18,5443,Bed
2026-02-13,940,Dinner table
2025-12-01,6239,Sofa
2025-12-10,8524,Bed
2026-01-09,7864,Sofa
2026-01-14,4736,Bed
2026-01-03,1283,Bed
2026-01-15,4180,Bed
2026-02-16,7671,Bed
2025-11-13,2870,Dinner table
2025-11-27,3972,Sofa
2026-02-13,5540,Dinner table
2025-12-17,3195,Dinner table
2026-01-23,282,Sofa
2026-01-10,6170,Bed
2025-12-20,3475,Dinner table
2026-02-15,1250,Dinner table
2026-01-30,3110,Bed
2025-11-20,8519,Dinner table
2026-01-07,7942,Bed
2026-01-21,5453,Bed
2025-11-25,4462,Dinner table
2025-11-27,1287,Sofa
2025-12-26,3625,Bed
2025-12-30,3604,Sofa
2026-02-17,1206,Sofa
2025-11-17,2072,Dinner table
2026-01-15,7475,Bed
2025-12-11,6789,Bed
2026-01-19,3394,Sofa
2025-11-28,831,Sofa
2026-01-26,8166,Bed
2025-11-11,7969,Dinner table
2025-11-27,8290,Bed
2025-11-20,5656,Dinner table
2025-11-10,6333,Sofa
2026-01-20,7075,Sofa
2026-01-11,57,Bed
2025-12-15,4271,Sofa
2026-02-13,2095,Bed
2026-01-06,6096,Sofa
2026-01-16,8145,Sofa
2025-12-27,96,Bed
2026-01-04,1886,Bed
2026-01-19,5224,Bed
2026-01-04,6555,Dinner table
2025-12-26,2810,Sofa
2025-12-27,4446,Dinner table
2025-12-06,8490,Bed
2026-01-23,2483,Dinner table
2025-12-28,3719,Dinner table
2025-12-22,8703,Sofa
2026-01-21,7777,Sofa
2026-02-11,4143,Sofa
2026-01-01,7445,Dinner table
2025-11-19,279,Sofa
2026-01-28,8671,Dinner table
2026-01-19,1792,Bed
2026-01-09,8631,Sofa
2026-01-29,8175,Dinner table
2025-11-20,4840,Sofa
2026-01-05,1056,Dinner table
2025-11-22,3803,Sofa
2026-02-01,7811,Bed
2026-01-05,8783,Sofa
2025-12-17,5595,Sofa
2026-02-01,7489,Bed
2025-11-13,5513,Bed
2025-12-23,9163,Sofa
2025-12-16,9235,Sofa
2025-12-25,8036,Sofa
2026-01-05,3688,Bed
2025-11-27,8633,Dinner table
2025-12-23,7590,Dinner table
2026-02-11,8210,Bed
2025-11-19,8792,Sofa
2026-01-10,2631,Bed
2026-01-18,1,Bed
2026-02-09,4370,Sofa
2025-12-12,1811,Dinner table
2025-12-05,5775,Dinner table
2026-01-16,8363,Sofa
2026-02-07,495,Sofa
2026-01-26,7258,Dinner table
2025-12-15,3995,Bed
2026-02-05,5795,Sofa
2026-02-01,8448,Sofa
2026-01-12,7177,Sofa
2025-12-08,4415,Bed
2025-11-16,4387,Sofa
2026-01-15,2034,Bed
2025-11-21,4451,Dinner table
2026-01-18,5315,Bed
2026-01-13,3003,Bed
2025-11-23,4693,Sofa
2026-01-05,3483,Sofa
2026-02-02,6206,Sofa
2026-01-26,7998,Bed
2026-01-01,7698,Sofa
2026-02-15,3829,Bed
2025-12-07,3261,Bed
2026-01-11,4689,Dinner table
2025-11-28,8350,Bed
2026-01-26,238,Dinner table
2025-11-30,175,Bed
2025-11-21,2192,Bed
2026-01-16,3836,Bed
2026-02-06,6709,Sofa
2025-12-15,8304,Bed
2026-01-23,4940,Dinner table
2026-02-08,1827,Sofa
2026-01-14,396,Sofa
2025-11-26,2648,Bed
2026-01-01,6480,Dinner table
2026-01-18,4226,Bed
2026-02-16,1718,Sofa
2025-11-18,3459,Bed
2025-11-20,2490,Bed
2026-01-25,3116,Bed
2025-12-19,5169,Sofa
2026-01-11,417,Dinner table
2025-11-28,2766,Sofa
2025-11-19,7901,Dinner table
2025-12-26,8208,Sofa
2025-12-24,752,Sofa
2025-12-04,7792,Bed
2026-02-12,6220,Bed
2025-11-16,8801,Bed
2026-01-24,6636,Dinner table
2026-01-30,1907,Bed
2025-12-01,7851,Sofa
2026-01-25,2153,Bed
2025-12-07,822,Dinner table
2026-01-18,1045,Bed
2026-01-01,8256,Dinner table
2026-01-21,725,Sofa
2026-01-29,6806,Bed
2026-02-01,2546,Bed
2025-12-02,8516,Bed
2025-12-25,690,Dinner table
2025-12-10,8931,Bed
2026-01-31,5894,Sofa
2026-02-01,9148,Sofa
2025-12-06,3045,Dinner table
2026-01-04,8899,Dinner table
2026-02-17,3310,Bed
2025-12-26,6091,Dinner table
2026-01-19,3804,Bed
2026-01-13,4511,Dinner table
2025-11-22,6340,Dinner table
2025-12-24,3779,Sofa
2026-01-29,2122,Dinner table
2026-01-09,3554,Sofa
2026-02-12,9320,Bed
2025-12-01,3441,Bed
2026-01-19,3753,Dinner table
2026-01-15,8700,Dinner table
2026-01-22,4083,Sofa
2025-12-08,4247,Bed
2025-12-18,5293,Dinner table
2026-01-02,8670,Dinner table
2026-01-23,8385,Dinner table
2025-12-12,1891,Bed
2025-12-07,8897,Dinner table
2026-01-04,5957,Dinner table
2026-01-01,6494,Bed
2026-02-11,1869,Bed
2026-01-01,8166,Sofa
2026-01-05,384,Bed
2025-11-19,8032,Bed
2026-02-13,2457,Sofa
2026-02-09,6363,Dinner table
2026-01-30,2946,Dinner table
2026-01-29,6166,Bed
2026-01-24,3130,Dinner table
2026-02-08,837,Sofa
2025-12-17,2139,Dinner table
2026-02-02,3728,Sofa
2025-12-06,5565,Bed
2026-02-12,7291,Bed
2025-12-16,7504,Sofa
2026-01-05,1684,Bed
2026-02-06,275,Bed
2026-01-20,6172,Dinner table
2025-11-25,8628,Sofa
2025-12-22,979,Sofa
2025-12-08,8605,Dinner table
2025-11-25,6884,Sofa
2026-02-09,3214,Sofa
2025-12-31,8241,Sofa
2025-11-27,793,Dinner table
2026-01-06,2626,Bed
2025-12-13,4221,Dinner table
2026-01-14,2110,Bed
2025-12-24,3297,Sofa
2025-12-30,3731,Bed
2026-01-22,1332,Dinner table
2025-12-30,8357,Sofa
2025-12-29,2211,Dinner table
2026-01-13,3084,Sofa
2025-12-23,5705,Dinner table
2025-12-15,5324,Bed
2026-01-10,6487,Bed
2025-12-01,3414,Dinner table
2025-11-19,4263,Dinner table
2026-01-18,3642,Dinner table
2025-12-27,6082,Dinner table
2026-01-04,9330,Bed
2025-12-29,7961,Sofa
2025-11-24,7319,Dinner table
2026-01-03,374,Bed
2025-12-17,4995,Dinner table
2026-02-05,804,Sofa
2025-12-17,4647,Sofa
2026-02-11,4184,Sofa
2025-12-16,5977,Dinner table
2025-12-15,8468,Dinner table
2025-11-17,9297,Dinner table
2026-02-16,3598,Bed
2025-12-27,2260,Dinner table
2026-01-28,274,Bed
2025-12-10,1127,Bed
2025-12-11,7425,Sofa
2025-11-22,4982,Dinner table
2026-01-04,6366,Sofa
2026-01-01,6538,Dinner table
2026-01-01,1968,Sofa
2026-02-07,6701,Dinner table
2026-01-17,5549,Bed
2026-02-12,2679,Bed
2026-01-20,8391,Sofa
2025-12-18,4541,Dinner table
2026-02-11,5277,Sofa
2025-11-28,7320,Bed
2025-11-17,5482,Bed
2025-11-28,7602,Sofa
2025-11-28,3803,Dinner table
2026-01-13,8597,Sofa
2026-01-04,7205,Dinner table
2026-01-24,6439,Bed
2026-02-13,3299,Bed
2025-11-30,3774,Sofa
2026-02-12,2601,Sofa
2025-11-20,2446,Sofa
2026-01-16,5515,Bed
2025-12-07,4762,Dinner table
2026-01-03,4356,Dinner table
2026-01-25,8706,Sofa
2026-01-01,6529,Bed
2026-01-31,6060,Bed
2025-12-31,8095,Bed
2026-01-06,4444,Dinner table
2026-01-29,1438,Sofa
2025-12-27,6198,Dinner table
2026-02-14,1771,Bed
2025-12-14,9308,Bed
2025-11-27,5915,Bed
2026-02-09,2304,Dinner table
2025-11-23,6338,Sofa
2025-11-19,3585,Bed
2025-12-07,3911,Dinner table
2026-01-10,1551,Bed
2025-11-29,4250,Bed
2026-02-17,4639,Dinner table
2025-12-21,5852,Dinner table
2025-12-13,8423,Sofa
2026-01-18,6768,Bed
2026-01-24,4901,Dinner table
2026-01-27,8613,Sofa
2025-11-10,6985,Dinner table
2026-01-11,6071,Sofa
2026-01-10,8398,Dinner table
2026-02-11,962,Sofa
2026-01-29,9291,Sofa
2025-12-05,464,Dinner table
2026-02-05,2750,Sofa
2026-02-13,3029,Bed
2025-12-06,247,Bed
2025-12-20,2862,Sofa
2026-02-14,7772,Dinner table
2026-02-16,2128,Dinner table
2026-02-14,5595,Bed
2026-02-08,4463,Sofa
2026-02-06,6494,Bed
2025-11-15,2375,Sofa
2026-01-11,7022,Sofa
2026-01-03,2909,Sofa
2026-01-14,7761,Bed
2025-11-14,2987,Sofa
2026-02-02,5410,Sofa
2026-01-03,4341,Bed
2026-02-04,264,Sofa
2026-01-21,6821,Bed
2025-12-08,1133,Dinner table
2025-12-24,932,Bed
2025-12-23,1152,Bed
2025-12-29,1386,Dinner table
2025-11-15,6745,Dinner table
2026-01-31,8459,Sofa
2025-12-22,5767,Dinner table
2026-01-26,4979,Dinner table
2026-01-12,7450,Dinner table
2025-12-16,3505,Dinner table
2026-01-31,5998,Sofa
2026-01-01,9189,Dinner table
2026-01-14,5740,Dinner table
2026-01-27,5608,Dinner table
2026-02-11,6453,Bed
2025-12-18,4095,Bed
2025-12-13,5134,Bed
2026-02-01,4186,Sofa
2026-02-11,4168,Bed
2026-01-09,879,Sofa
2026-01-15,643,Dinner table
2025-12-19,793,Bed
2025-12-28,7411,Dinner table
2026-02-03,1354,Sofa
2025-11-22,3466,Dinner table
2025-12-27,7918,Bed
2025-12-10,2838,Dinner table
2026-01-13,1765,Bed
2026-01-17,1115,Dinner table
2025-12-01,2013,Sofa
2026-01-02,2732,Sofa
2026-01-14,5034,Bed
2025-12-03,7596,Sofa
2026-02-17,4679,Sofa
2025-11-26,533,Bed
2025-11-17,670,Dinner table
2025-11-10,6051,Bed
2026-01-05,277,Bed
2025-12-12,4617,Bed
2026-01-22,9073,Bed
2025-12-02,997,Sofa
2026-02-07,8086,Bed
2026-01-01,7376,Sofa
2025-12-24,4830,Bed
2026-01-01,7421,Sofa
2026-01-23,1400,Bed
2025-12-28,5517,Sofa
2026-02-17,7050,Bed
2025-11-30,5110,Bed
2025-11-16,7030,Sofa
2025-12-10,3704,Sofa
2026-02-16,93,Sofa
2025-11-10,6691,Dinner table
2025-12-15,8959,Bed
2026-02-03,804,Bed
2025-11-21,1458,Bed
2026-01-31,1950,Sofa
2026-01-27,7875,Sofa
2026-01-04,7021,Sofa
2026-01-31,6259,Bed
2025-12-25,6114,Dinner table
2025-12-15,1299,Bed
2026-01-05,1088,Bed
2025-12-14,908,Bed
2026-01-03,5116,Sofa
2025-12-09,7541,Dinner table
2026-01-30,2123,Sofa
2025-12-23,3744,Sofa
2026-02-02,5923,Bed
2026-01-24,462,Bed
2026-01-12,8323,Bed
2026-01-03,8008,Bed
2025-12-26,6542,Sofa
2025-12-13,892,Dinner table
2026-01-23,7064,Sofa
2025-11-29,4255,Dinner table
2026-01-19,4919,Bed
2025-11-25,8081,Dinner table
2026-01-30,7931,Sofa
2025-12-15,3353,Dinner table
2026-01-30,4598,Bed
2026-01-28,7858,Dinner table
2025-12-20,8449,Sofa
2025-11-30,1722,Bed
2025-12-30,1970,Bed
2025-12-07,7817,Bed
2025-12-09,3648,Bed
2025-11-16,1982,Sofa
2025-12-15,977,Dinner table
2025-11-15,3514,Sofa
2025-12-09,7844,Sofa
2026-01-06,5679,Bed
2025-12-30,8610,Sofa
2025-12-26,7016,Dinner table
2025-11-29,6240,Sofa
2026-01-22,7930,Sofa
2026-02-16,5249,Dinner table
2026-01-08,3950,Sofa
2026-02-16,702,Sofa
2025-12-29,8573,Dinner table
2025-12-10,9264,Dinner table
2025-12-05,792,Dinner table
2026-01-05,7578,Bed
2025-12-26,1610,Dinner table
2026-01-16,491,Dinner table
2025-12-18,8690,Dinner table
2025-12-20,4152,Dinner table
2026-02-16,7162,Dinner table
2026-02-02,8069,Dinner table
2025-11-14,8763,Dinner table
2026-02-13,5958,Sofa
2025-11-27,5396,Dinner table
2025-12-30,3517,Sofa
2025-12-07,6065,Sofa
2026-01-20,8037,Bed
2025-12-15,388,Bed
2025-11-15,1481,Dinner table
2025-12-27,3212,Bed
2025-12-21,6019,Bed
2026-01-06,5435,Dinner table
2025-11-29,702,Dinner table
2025-12-13,2081,Sofa
2026-02-13,2739,Bed
2026-02-17,5399,Sofa
2025-12-18,2230,Sofa
2025-11-21,615,Sofa
2025-11-25,2422,Bed
2026-01-16,3278,Dinner table
2026-02-17,7439,Dinner table
2025-12-17,1748,Sofa
2026-01-29,5490,Dinner table
2026-01-19,8731,Sofa
2025-12-31,825,Sofa
2025-11-23,9027,Dinner table
2025-11-28,6499,Sofa
2025-12-21,6881,Sofa
2025-12-24,3954,Sofa
2026-01-09,9215,Bed
2026-01-07,6105,Sofa
2025-11-15,4700,Dinner table
2026-01-13,6548,Dinner table
2025-11-15,7315,Dinner table
2026-02-03,4532,Sofa
2026-01-21,6472,Bed
2025-11-27,7412,Bed
2025-11-26,3722,Dinner table
2025-11-15,1140,Sofa
2025-12-23,7251,Bed
2025-12-18,3455,Bed
2026-02-07,6038,Dinner table
2025-12-25,5564,Sofa
2025-12-15,583,Bed
2025-12-23,2571,Sofa
2025-11-13,706,Dinner table
2025-11-11,654,Sofa
2025-12-12,5049,Dinner table
2025-12-03,7151,Sofa
2026-01-16,8131,Dinner table
2026-01-01,6395,Dinner table
2025-12-02,4879,Sofa
2025-11-27,4387,Sofa
2026-01-12,9149,Sofa
2026-01-24,3293,Bed
2025-11-19,354,Sofa
2026-01-15,563,Dinner table
2026-02-05,8463,Sofa
2025-12-26,2726,Dinner table
2026-01-26,5662,Bed
2025-12-08,6996,Sofa
2025-12-01,3165,Dinner table
2025-11-21,7388,Sofa
2026-02-04,4412,Sofa
2026-01-13,2611,Bed
2025-12-10,4536,Dinner table
2025-12-30,594,Bed
2025-11-27,8092,Bed
2025-12-16,6005,Sofa
2026-02-10,2763,Dinner table
2026-01-07,405,Dinner table
2025-12-28,195,Bed
2025-12-05,8021,Dinner table
2025-12-23,3720,Bed
2026-02-17,1472,Bed
2026-02-17,655,Dinner table
2025-12-16,6846,Dinner table
2026-01-03,3161,Dinner table
2025-12-13,4301,Bed
2025-11-11,1629,Bed
2026-02-03,4810,Dinner table
2025-12-24,8346,Dinner table
2025-11-22,2376,Dinner table
2025-12-02,8716,Bed
2026-01-24,246,Bed
2026-01-14,4795,Bed
2025-11-10,3316,Dinner table
2026-02-01,4261,Sofa
2025-11-24,6535,Sofa
2025-11-10,3720,Dinner table
2026-02-06,893,Dinner table
2025-12-31,4150,Sofa
2026-01-18,2572,Dinner table
2026-01-23,7364,Dinner table
2026-01-15,8361,Dinner table
2025-11-13,7632,Bed
2025-11-28,6196,Dinner table
2025-12-16,1433,Sofa
2025-12-13,949,Sofa
2025-11-29,6572,Dinner table
2025-12-21,6568,Dinner table
2026-01-08,3774,Dinner table
2025-12-31,8478,Sofa
2025-12-26,9194,Sofa
2026-02-13,6566,Sofa
2026-02-06,6345,Bed
2025-12-19,5334,Bed
2026-01-02,1442,Dinner table
2025-12-17,4088,Dinner table
2025-12-22,2759,Sofa
2025-11-25,6495,Bed
2025-11-23,978,Sofa
2026-01-12,4324,Bed
2025-11-14,8338,Bed
2026-01-11,7839,Dinner table
2025-11-26,4889,Bed
2026-01-16,7752,Dinner table
2026-01-24,7449,Dinner table
2025-12-21,2019,Bed
2026-02-11,2695,Sofa
2026-02-13,3096,Bed
2026-01-09,2524,Sofa
2025-11-21,4986,Sofa
2026-01-18,6265,Dinner table
2025-11-29,8181,Dinner table
2026-01-03,2437,Dinner table
2026-02-13,8601,Sofa
2026-01-11,4073,Sofa
2025-11-28,5559,Sofa
2026-02-08,2471,Sofa
2026-02-08,5512,Bed
2025-11-28,1856,Sofa
2026-02-01,6849,Bed
2026-02-01,3976,Dinner table
2025-11-16,4127,Bed
2026-02-17,3742,Sofa
2025-11-30,8351,Sofa
2025-12-25,2362,Dinner table
2026-01-15,3427,Bed
2025-11-29,9196,Bed
2025-11-25,2117,Sofa
2025-12-23,8141,Sofa
2025-12-21,3134,Dinner table
2026-01-06,341,Sofa
2026-01-01,1206,Bed
2025-12-15,5059,Sofa
2025-11-25,1772,Sofa
2025-12-14,5116,Dinner table
2026-01-11,1548,Dinner table
2026-01-27,1475,Bed
2026-02-14,6243,Dinner table
2026-01-27,4073,Dinner table
2025-12-20,4058,Sofa
2025-12-14,2629,Sofa
2026-01-15,7346,Bed
2026-01-04,6644,Dinner table
2026-01-19,1764,Dinner table
2025-12-16,236,Dinner table
2026-01-01,5286,Dinner table
2026-01-02,9139,Dinner table
2025-11-25,3333,Bed
2025-11-24,824,Dinner table
2026-02-15,4420,Sofa
2025-12-28,5773,Dinner table
2026-02-01,2297,Bed
2025-11-11,8710,Sofa
2025-11-26,6497,Sofa
2025-12-07,7918,Sofa
2025-11-10,3906,Sofa
2025-12-28,6710,Bed
2025-12-07,6155,Dinner table
2025-11-11,2222,Sofa
2026-02-09,2826,Sofa
2025-12-11,1678,Dinner table
2025-12-29,2158,Sofa
2026-01-23,274,Bed
2026-01-25,4497,Bed
2026-02-04,2480,Dinner table
2026-01-07,9102,Sofa
2026-02-01,7476,Bed
2025-11-16,4508,Dinner table
2025-12-26,8206,Bed
2026-01-13,802,Bed
2026-01-10,8606,Dinner table
2026-02-07,4166,Sofa
2026-02-16,2267,Dinner table
2026-01-26,8363,Dinner table
2025-12-28,5074,Sofa
2025-12-27,7275,Bed
2026-02-01,8730,Bed
2025-12-15,7394,Bed
2026-01-10,1723,Dinner table
2025-11-25,4825,Sofa
2026-01-11,9058,Bed
2026-01-07,4851,Dinner table
2025-12-24,2682,Bed
2026-01-07,981,Dinner table
2025-12-30,1902,Sofa
2026-01-07,5988,Bed
2026-01-01,7667,Bed
2026-02-10,2840,Dinner table
2026-01-31,5306,Dinner table
2025-12-29,7676,Dinner table
2026-01-18,3428,Sofa
2026-02-15,8520,Dinner table
2026-01-11,487,Dinner table
2025-11-10,7695,Bed
2026-01-17,563,Dinner table
2026-01-20,4849,Bed
2025-11-10,1996,Bed
2026-01-11,7387,Dinner table
2026-01-23,6596,Dinner table
2026-01-05,6209,Sofa
2026-01-11,4424,Bed
2025-11-28,7399,Bed
2025-12-06,4948,Bed
2026-01-07,8335,Bed
2025-12-06,7912,Sofa
2026-01-17,6104,Bed
2026-01-08,178,Dinner table
2026-01-23,8841,Dinner table
2026-01-13,6901,Sofa
2025-12-26,9283,Dinner table
2025-11-10,5043,Bed
2026-01-19,763,Bed
2026-02-09,8918,Dinner table
2026-02-04,4501,Dinner table
2025-11-30,3099,Bed
2025-12-13,2510,Dinner table
2025-12-19,326,Bed
2025-12-05,4124,Bed
2025-12-06,9241,Dinner table
2026-01-10,4304,Sofa
2026-02-13,8079,Dinner table
2026-01-03,1508,Dinner table
2025-12-16,6815,Bed
2025-12-02,3424,Dinner table
2026-01-20,5866,Bed
2026-02-07,1145,Dinner table
2025-11-27,4490,Dinner table
2026-02-15,242,Bed
2026-01-29,3138,Bed
2025-12-08,8605,Bed
2026-02-04,6340,Dinner table
2026-01-09,1404,Dinner table
2026-01-27,2907,Bed
2025-11-22,1013,Dinner table
2026-02-02,4131,Bed
2025-11-22,6863,Sofa
2025-11-19,5908,Dinner table
2025-12-14,1247,Dinner table
2026-01-18,9161,Bed
2026-02-09,8520,Dinner table
2026-02-10,6981,Bed
2026-01-14,8940,Bed
2025-12-26,7811,Sofa
2025-12-05,9075,Bed
2026-01-23,1605,Dinner table
2025-12-26,3729,Bed
2025-12-19,6924,Dinner table
2025-12-07,4624,Bed
2026-01-11,531,Dinner table
2025-11-10,6639,Dinner table
2026-02-03,8114,Dinner table
2025-11-14,6674,Sofa
2026-01-14,4855,Dinner table
2026-02-02,6420,Bed
2026-01-26,6993,Dinner table
2025-12-03,8778,Sofa
2025-12-24,7303,Dinner table
2025-12-28,7020,Sofa
2025-12-01,4697,Sofa
2026-01-08,1474,Bed
2026-01-08,9324,Bed
2025-12-24,2785,Sofa
2026-01-11,7825,Dinner table
2025-12-30,681,Dinner table
2025-12-17,8732,Bed
2026-02-16,6517,Bed
2025-11-22,3807,Sofa
2026-01-17,5412,Bed
2025-11-24,8678,Dinner table
2025-12-29,7633,Bed
2026-01-02,176,Sofa
2025-11-23,1897,Dinner table
2026-02-11,5686,Dinner table
2025-11-10,1546,Dinner table
2025-12-20,6396,Sofa
2026-01-07,2315,Bed
2025-12-26,1014,Bed
2025-12-16,2401,Sofa
2025-12-27,6266,Sofa
2026-02-15,8914,Bed
2026-01-01,9312,Dinner table
2025-11-29,3904,Sofa
2026-01-13,372,Bed
2025-12-28,2653,Bed
2026-02-13,515,Sofa
2025-12-20,1401,Dinner table
2026-02-06,5508,Dinner table
2026-01-03,8967,Dinner table
2026-01-26,4473,Bed
2025-12-05,8239,Dinner table
2026-01-13,6120,Dinner table
2026-02-13,9027,Sofa
2025-12-26,7308,Dinner table
2025-12-07,4950,Bed
2026-02-02,3357,Sofa
2026-01-05,4187,Bed
2026-01-07,8945,Sofa
2025-11-28,6204,Sofa
2026-02-13,6706,Sofa
2026-02-03,5478,Bed
2026-01-19,762,Dinner table
